Spielergebnis vom 2025-05-24 um 22:16:09.200421: Sieger ist der zweite Spieler als Krieger mit 9 HP und 8 Initiative, Verlierer ist der erste Spieler als Magier mit 0 HP und 1 Initiative.
Spielergebnis vom 2025-05-24 um 22:18:58.031524: Sieger ist der zweite Spieler als Magier mit 1 HP und 1 Initiative, Verlierer ist der erste Spieler als Krieger mit 0 HP und 4 Initiative.
Spielergebnis vom 2025-05-24 um 22:19:55.389843: Sieger ist der erste Spieler als Krieger mit 7 HP und 2 Initiative, Verlierer ist der zweite Spieler als Magier mit 0 HP und 1 Initiative.
Spielergebnis vom 2025-05-24 um 22:24:28.198642: Sieger ist der zweite Spieler als Krieger mit 9 HP und 6 Initiative, Verlierer ist der erste Spieler als Krieger mit 0 HP und 5 Initiative. 
Spielergebnis vom 2025-05-24 um 22:25:25.857237: Sieger ist der zweite Spieler als Krieger mit 4 HP und 7 Initiative, Verlierer ist der erste Spieler als Krieger mit 0 HP und 8 Initiative.
Spielergebnis vom 2025-05-24 um 22:25:58.143683: Sieger ist der erste Spieler als Schurke mit 6 HP und 8 Initiative, Verlierer ist der zweite Spieler als Schurke mit 0 HP und 4 Initiative.
